file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS0007_0140_1262494_to_1271754,ད་དེ་དུས་ང་ཚོ་ལ་མི་ཤེས་ཡོན་ཅན་མང་པོ་མེད་པའི་དཀའ་ངལ་རེད་བསམ་གི་འདུག་ཡོད་བ། ད་ག་རེ་བྱས་ན་ཤེས་ཡོན་ཅན་གལ་སྲིད་མི་མང་པོ་འདྲ་བོ་སླེབས་པ་ཡིན་ན། ལ་དྭགས་འདི་ག་གང་ག་ཟི་གི་ང་ཚོ་ ,da de dus nga tsho la mi shes yon can mang po med pa'i dka' ngal red bsam gi 'dug yod ba/_da ga re byas na shes yon can gal srid mi mang po 'dra bo slebs pa yin na/_la dwags 'di ga gang ga zi gi nga tsho _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0007_0140_1262494_to_1271754.wav,STT_NS,3,167,9.26,wav16k/STT_NS0007_0140_1262494_to_1271754.wav,ད་དེ་དུས་ང་ཚོ་ལ་མི་ཤེས་ཡོན་ཅན་མང་པོ་མེད་པའི་དཀའ་ངལ་རེད་བསམ་གི་འདུག་ཡོད་བ། ད་ག་རེ་བྱས་ན་ཤེས་ཡོན་ཅན་གལ་སྲིད་མི་མང་པོ་འདྲ་བོ་སླེབས་པ་ཡིན་ན། ཨེ་ནས་ལ་དྭགས་དེ་་ག་ག་སི་གི་ང་ཚོ་
STT_NS0009_0007_49144_to_56691,ལུས་ངག་ཡིད་གསུམ་གི། ལུས་ཀི་རྣམ་འགྱུར་བྱས་ན་ད་ང་ཚོ་ཡང་ཀུན་སྤྱོད་འདུག་སེ་བྱས་ཡང་ལབ་སྲོལ་འདུག་རེད་བ། ད་ཀུན་སྤྱོད་ལབ་ཡ་དེ་ཡང་ཨུན་ ,lus ngag yid gsum gi/_lus ki rnam 'gyur byas na da nga tsho yang kun spyod 'dug se byas yang lab srol 'dug red ba/_da kun spyod lab ya de yang un _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0009_0007_49144_to_56691.wav,STT_NS,3,126,7.547,wav16k/STT_NS0009_0007_49144_to_56691.wav,ལུས་ངག་ཡིད་གསུམ་གི་ལུས་ཀི་རྣམ་འགྱུར་ཞིག་ལ་ད་ང་ཚོ་ཡང་ཀུན་སྤྱོད་ཟེ་ཨེ་འདྲས་བྱས་ ཡང་ལབ་སྲོལ་འདུག་རེད་བ། ད་ཀུན་སྤྱོད་ལབ་ཡ་དེ་ཡང་
STT_NS0009_0008_56944_to_66816,གཞན་པ་ཅིག་ཡང་ག་འདྲ་ཅིག་ལ་གོ་གི་འདུག་ལབ་ན་ཡང་། ཀུན་སྤྱོད་ལབ་ཡ་དེ་མི་གཞན་ལ་ཡ་ཨེ་ནས་འཚེ་བ་མེད་པ་དང་། གཞན་ལ་གནོད་པ་མེད་པ་ཅིག་ལ་གོ་གི་འདུག་རེད་བ། ད་དེའི་ནང་ལོགས་ལ་ནམ་རྒྱུན་ཚང་མ་ཚུད་འགྲོ་གི་རེད་ད་ ,gzhan pa cig yang ga 'dra cig la go gi 'dug lab na yang /_kun spyod lab ya de mi gzhan la ya e nas 'tshe ba med pa dang /_gzhan la gnod pa med pa cig la go gi 'dug red ba/_da de'i nang logs la nam rgyun tshang ma tshud 'gro gi red da _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0009_0008_56944_to_66816.wav,STT_NS,3,191,9.872,wav16k/STT_NS0009_0008_56944_to_66816.wav,གཞན་པ་ཅིག་ཡང་ག་འདྲའི་ཅིག་ལ་གོ་གི་འདུག་ལབ་ན་ཡང་ཀུན་སྤྱོད་ལབ་ཡ་དེ་ཨེ་ནས་མི་གཞན་ལ་ཡོད་བ། ཨེ་ནས་ཨའཚེ་བ་མེད་པ་དང་གཞན་ལ་གནོད་པ་མེད་པ་ཅིག་ལ་གོ་གི་འདུག་ཡེད་བ། ད་དེའི་ནང་ལོགས་ལ་ནམ་རྒྱུན་ཚང་མ་ཚུད་འགྲོ་གོ་རེད་ད། མི་ལ་
STT_NS0009_0009_66816_to_76688,མི་ལ་གུས་ཞབས་བྱེད་ཡ་དེ་འདྲ། མི་ལ་ཨུན་བྱམས་སྐྱོང་བྱེད་ཡ་ཡིན་ནས་རེད། མི་ལ་ཨུན་ད་ཨ་ག་རེ་ལབ་དགོས་རེད། དཔེ་བཞག་ན་སོ་སོ་གི་ཟ་སྟངས་འགྲོ་སྟངས་ ,mi la gus zhabs byed ya de 'dra/_mi la un byams skyong byed ya yin nas red/_mi la un da a ga re lab dgos red/_dpe bzhag na so so gi za stangs 'gro stangs _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0009_0009_66816_to_76688.wav,STT_NS,3,135,9.872,wav16k/STT_NS0009_0009_66816_to_76688.wav,ཨེ་ནས་གུས་ཞབས་བྱེད་ཡ་ད་རེད། མི་ལ་ཨུནའཆམ་སྐྱོང་བྱེད་ཡ་ཡིན་ན་རེད། མི་ལ་ཨུད་ཨ་ག་རེ་ལབ་དགོས་རེད། དཔེ་བཞག་ན་སོ་སོ་གི་བཟ་སྟངས་འགྲོ་སྟངས་
STT_NS0009_0010_77228_to_86231,ཨུན་འགྲོ་ལུགས་ཚང་མ་འདིའི་ནང་ལོགས་ལ་ཚུད་འགྲོ་གི་རེད་ད་རེད་བ། ཡང་ད་ཡང་ཕྱོགས་གཞན་པ་ཅིག་ནས་ཡང་ཀུན་སྤྱོད་ལབ་ཡ་དེ་ང་ཚོ་གི་ཁྲེལ་དང་ངོ་ཚ་ཡོད་ན། ཨེ་ནས་ཡང་ཀུན་སྤྱོད་ ,un 'gro lugs tshang ma 'di'i nang logs la tshud 'gro gi red da red ba/_yang da yang phyogs gzhan pa cig nas yang kun spyod lab ya de nga tsho gi khrel dang ngo tsha yod na/_e nas yang kun spyod _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0009_0010_77228_to_86231.wav,STT_NS,3,156,9.003,wav16k/STT_NS0009_0010_77228_to_86231.wav,ཨུནའགྲོ་ལུགས་ཚང་མ་དེའི་ནང་ལོགས་ལ་ཚིད་འགྲོ་གི་རེད་ད་རེད་བ། ཡང་ད་ཡང་ཕྱོགས་གཞན་པ་གཅིག་ནས་ཡང་ཀུན་སྤྱོད་ལབ་ཡ་དེ་ཡང་ང་ཚོ་གི་ག་འདྲས་ཅིག་སླེབས་ས་ནའཕྲལ་དང་ངོ་ཚ་ཡོད་ན་ཡང་ཨེ་ནས་ཡང་ཀུན་སྤྱོད་ཡ
STT_NS0009_0061_470162_to_472947,ཨེ་ནས་ཁོ་མཐའ་མ་མཐའ་མ་ག་རེ་བྱས་རེད། ཁོ་ད་ལྷ་བྱིན་ལབ་ཡ་དེ་ ,e nas kho mtha' ma mtha' ma ga re byas red/_kho da lha byin lab ya de _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0009_0061_470162_to_472947.wav,STT_NS,3,57,2.785,wav16k/STT_NS0009_0061_470162_to_472947.wav,ཨེ་ནས་ཁོ་མཐའ་མ་མཐའ་མ་ག་རེ་བྱས་རེད། ཁོ་ད་ལྟ་ལྷ་སབྱིན་ལབ་ཡ་དེ།
STT_NS0009_0062_473976_to_476406,མཐའ་མ་ཁོ་ངན་སོང་ལ་ཨེ་འདྲས་སྐྱེས་འདུག་ག་ ,mtha' ma kho ngan song la e 'dras skyes 'dug ga _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0009_0062_473976_to_476406.wav,STT_NS,3,40,2.43,wav16k/STT_NS0009_0062_473976_to_476406.wav,མཐའ་མ་ཁོ་ངན་སོང་ལ་ཨེ་འདྲ་གི་ད།
STT_NS0009_0063_476794_to_484810,སྐྱེས་ཡ་གི་ད་ག་རེ་ལབ་དགོས་རེད། ཨེ་འདྲའི་ཆགས་རེད་འདུག་ད་རེད་བ། ཨོ་བྱས་ཙང་ཚང་མ་དེ་ཚོ་ཀུན་སྤྱོད་ལ་རག་ལས་ཡོད་རེད་ད་རེད་བ། ཨོ་དེ་རེད་ད། ད་འཇིག་རྟེན་མི་ཆོས་བ་ཅིག་ཡིན་ན་ལས་རེད་བ།  ,skyes ya gi da ga re lab dgos red/_e 'dra'i chags red 'dug da red ba/_o byas tsang tshang ma de tsho kun spyod la rag las yod red da red ba/_o de red da/_da 'jig rten mi chos ba cig yin na las red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0009_0063_476794_to_484810.wav,STT_NS,3,173,8.016,wav16k/STT_NS0009_0063_476794_to_484810.wav,སྐྱེ་ཡ་གི་ད་ག་རེ་ལབ་དགོས་རེད། ཨེ་འདྲའི་ཆགས་རེད་འདུག་ད་རེདབ། བྱས་ཙང་ཚང་མ་དེ་ཚོ་ཀུན་སྤྱོད་ལ་རག་ལས་ཡོད་རེད།་ད་རེད་བ། ཨོ་དེ་རེད་ད། ད་འཇིག་རྟེན་མི་མཆོད་པ་ཅིག་ཡིན་ན་ལས་རེད་།
STT_NS0009_0064_485046_to_488151,ཧང་སང་ཡ་གིས་གལ་ཆེན་པོ་ཆགས་བསྡད་རེད། དཔེ་བཞག་ན་ང་རང་ཚོ་ ,hang sang ya gis gal chen po chags bsdad red/_dpe bzhag na nga rang tsho _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0009_0064_485046_to_488151.wav,STT_NS,3,55,3.105,wav16k/STT_NS0009_0064_485046_to_488151.wav,ཧང་སང་ཡ་གི་གལ་ཆེན་པོ་ཆགས་བསྡད་ཡ་ད་རེད་བ། དཔེ་བཞག་ན་ང་རང་ཚོ་ི་
STT_NS0009_0065_488489_to_495703,ང་རང་ཚོ་མི་ཚེའི་ནང་ལོགས་ད་ཀུན་སྤྱོད་ལབ་ཡ་དེ་ཚེ་འདི་ཡིན་ནས་རེད། ཚེ་ཕྱི་མ་དེ་ཡིན་ནས་རེད། ཀུན་སྤྱོད་དེ་ཧང་སང་ཡ་གིས་གལ་ཆེན་པོ་རེད། ཚེ་འདི་ ,nga rang tsho mi tshe'i nang logs da kun spyod lab ya de tshe 'di yin nas red/_tshe phyi ma de yin nas red/_kun spyod de hang sang ya gis gal chen po red/_tshe 'di _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0009_0065_488489_to_495703.wav,STT_NS,3,135,7.214,wav16k/STT_NS0009_0065_488489_to_495703.wav,ང་རང་ཚོའི་མི་ཚེའི་ནང་ལོགས་ད་ཀུན་སྤྱོད་ལབ་ཡ་དེ་ཚེ་འདི་ཡིན་ན་རེད། ཚེ་ཕྱི་མ་དེ་ཡིན་ན་རེད། ཀུན་སྤྱོད་དེ་ཧང་སང་ཡ་གི་གལ་ཆེན་པོ་རེད། ཚེ་འདི་
